season,week,team,implied_team_total
2023,10,PIT,17.75
2023,10,TB,18.5
2023,10,ARI,22.75
2023,10,LAC,25.5
2023,10,DAL,10.5
2023,10,SEA,19.0
2023,10,LV,18.25
2023,10,BUF,20.0
2023,11,BAL,21.25
2023,11,CAR,27.0
2023,11,CLE,15.75
2023,11,DET,20.0
2023,11,GB,23.5
2023,11,HOU,21.25
2023,11,JAX,16.75
2023,11,MIA,15.25
2023,11,WAS,15.75
2023,11,SF,14.0
2023,11,BUF,15.75
2023,11,LA,21.25
2023,11,DEN,20.5
2023,11,KC,21.75
2023,12,DET,19.25
2023,12,DAL,17.5
2023,12,SEA,25.25
2023,12,NYJ,24.75
2023,12,ATL,22.0
2023,12,CIN,19.0
2023,12,HOU,24.5
2023,12,IND,21.25
2023,12,NYG,20.5
2023,12,TEN,16.25
2023,12,ARI,24.0
2023,12,DEN,18.0
2023,12,LV,25.75
2023,12,PHI,23.25
2023,12,LAC,26.0
2023,12,MIN,20.25
2023,13,DAL,19.0
2023,13,HOU,22.0
2023,13,NE,21.5
2023,13,NO,25.75
2023,13,NYJ,17.5
2023,13,PIT,17.5
2023,13,TEN,21.75
2023,13,WAS,29.25
2023,13,TB,16.5
2023,13,LA,18.0
2023,13,PHI,24.75
2023,13,GB,24.5
2023,13,JAX,15.5
2023,14,PIT,12.0
2023,14,ATL,20.0
2023,14,BAL,17.25
2023,14,CHI,23.75
2023,14,CIN,21.0
2023,14,CLE,17.5
2023,14,NO,16.75
2023,14,NYJ,18.5
2023,14,LV,21.75
2023,14,SF,15.0
2023,14,KC,23.75
2023,14,LAC,21.0
2023,14,DAL,24.5
2023,14,MIA,15.5
2023,14,NYG,21.75
2023,15,LV,16.5
2023,15,CIN,19.25
2023,15,IND,20.0
2023,15,DET,21.75
2023,15,CAR,17.5
2023,15,CLE,17.5
2023,15,GB,18.75
2023,15,MIA,14.25
2023,15,NE,24.75
2023,15,NO,16.75
2023,15,TEN,17.5
2023,15,ARI,30.25
2023,15,LA,21.0
2023,15,BUF,23.75
2023,15,JAX,23.25
2023,15,SEA,25.5
2023,16,LA,20.75
2023,16,PIT,21.25
2023,16,LAC,28.75
2023,16,ATL,20.5
2023,16,CAR,21.5
2023,16,HOU,21.5
2023,16,MIN,25.0
2023,16,NYJ,16.75
2023,16,TEN,22.5
2023,16,TB,22.5
2023,16,CHI,18.75
2023,16,MIA,23.5
2023,16,DEN,15.25
2023,16,KC,14.75
2023,16,PHI,13.5
2023,16,SF,20.5
2023,17,CLE,13.5
2023,17,DAL,23.75
2023,17,BAL,22.0
2023,17,BUF,12.5
2023,17,CHI,18.0
2023,17,HOU,19.5
2023,17,IND,19.5
2023,17,JAX,17.25
2023,17,NYG,24.75
2023,17,PHI,18.0
2023,17,TB,20.0
2023,17,WAS,31.5
2023,17,SEA,18.0
2023,17,DEN,18.0
2023,17,KC,19.25
2023,17,MIN,20.75
2023,18,BAL,18.5
2023,18,IND,24.5
2023,18,CAR,20.75
2023,18,CIN,14.75
2023,18,DET,22.0
2023,18,NE,13.0
2023,18,NO,19.0
2023,18,TEN,22.5
2023,18,ARI,25.25
2023,18,GB,21.5
2023,18,LAC,15.75
2023,18,LV,17.0
2023,18,NYG,23.75
2023,18,SF,17.25
2023,18,WAS,30.25
2023,18,MIA,25.0
2023,19,HOU,23.75
2023,19,KC,19.5
2023,19,DAL,22.75
2023,19,DET,24.5
2023,19,BUF,14.75
2023,19,TB,22.75
2023,20,BAL,17.0
2023,20,SF,20.0
2023,20,DET,21.75
2023,20,BUF,21.5
