season,game_id,home_team,away_team,home_seed,away_seed,home_points,away_points,favorite_team,underdog_team,favorite_seed,underdog_seed,upset
2015,65816,Maryland,Valparaiso,4,13,65,62,Maryland,Valparaiso,4,13,0
2015,65817,Oregon,Oklahoma State,8,9,79,73,Oregon,Oklahoma State,8,9,0
2015,65818,Duke,Robert Morris,1,16,85,56,Duke,Robert Morris,1,16,0
2015,65819,Iowa,Davidson,7,10,83,52,Iowa,Davidson,7,10,0
2015,65820,Oklahoma,UAlbany,3,14,69,60,Oklahoma,UAlbany,3,14,0
2015,65821,Wisconsin,Coastal Carolina,1,16,86,72,Wisconsin,Coastal Carolina,1,16,0
2015,65822,San Diego State,St. John's,8,9,76,64,San Diego State,St. John's,8,9,0
2015,65823,Gonzaga,North Dakota State,2,15,86,76,Gonzaga,North Dakota State,2,15,0
2015,65824,Providence,Dayton,6,11,53,66,Providence,Dayton,6,11,1
2015,65830,UCLA,UAB,11,14,92,75,UCLA,UAB,11,14,0
2015,65831,Kentucky,Cincinnati,1,8,64,51,Kentucky,Cincinnati,1,8,0
2015,65832,Arizona,Ohio State,2,10,73,58,Arizona,Ohio State,2,10,0
2015,65833,Xavier,Georgia State,6,14,75,67,Xavier,Georgia State,6,14,0
2015,65834,Villanova,NC State,1,8,68,71,Villanova,NC State,1,8,1
2015,65835,Georgetown,Utah,4,5,64,75,Georgetown,Utah,4,5,1
2015,65836,North Carolina,Arkansas,4,5,87,78,North Carolina,Arkansas,4,5,0
2015,65837,Notre Dame,Butler,3,6,67,64,Notre Dame,Butler,3,6,0
2015,65839,Virginia,Michigan State,2,7,54,60,Virginia,Michigan State,2,7,1
2015,65840,Duke,San Diego State,1,8,68,49,Duke,San Diego State,1,8,0
2015,65841,Kansas,Wichita State,2,7,65,78,Kansas,Wichita State,2,7,1
2015,65842,Oklahoma,Dayton,3,11,72,66,Oklahoma,Dayton,3,11,0
2015,65843,Gonzaga,Iowa,2,7,87,68,Gonzaga,Iowa,2,7,0
2015,65844,Wisconsin,Oregon,1,8,72,65,Wisconsin,Oregon,1,8,0
2015,65845,Maryland,West Virginia,4,5,59,69,Maryland,West Virginia,4,5,1
2015,65846,Louisville,Northern Iowa,4,5,66,53,Louisville,Northern Iowa,4,5,0
2015,65868,Notre Dame,Wichita State,3,7,81,70,Notre Dame,Wichita State,3,7,0
2015,65869,Wisconsin,North Carolina,1,4,79,72,Wisconsin,North Carolina,1,4,0
2015,65870,Kentucky,West Virginia,1,5,78,39,Kentucky,West Virginia,1,5,0
2015,65871,Arizona,Xavier,2,6,68,60,Arizona,Xavier,2,6,0
2015,65873,Gonzaga,UCLA,2,11,74,62,Gonzaga,UCLA,2,11,0
2015,65874,Louisville,NC State,4,8,75,65,Louisville,NC State,4,8,0
2015,65875,Duke,Utah,1,5,63,57,Duke,Utah,1,5,0
2015,65876,Oklahoma,Michigan State,3,7,58,62,Oklahoma,Michigan State,3,7,1
2015,65878,Wisconsin,Arizona,1,2,85,78,Wisconsin,Arizona,1,2,0
2015,65879,Kentucky,Notre Dame,1,3,68,66,Kentucky,Notre Dame,1,3,0
2015,65880,Louisville,Michigan State,4,7,70,76,Louisville,Michigan State,4,7,1
2015,65881,Duke,Gonzaga,1,2,66,52,Duke,Gonzaga,1,2,0
2015,65890,Duke,Michigan State,1,7,81,61,Duke,Michigan State,1,7,0
2016,59839,Duke,UNC Wilmington,4,13,93,85,Duke,UNC Wilmington,4,13,0
2016,59840,Texas Tech,Butler,8,9,61,71,Texas Tech,Butler,8,9,1
2016,59841,Colorado,UConn,8,9,67,74,Colorado,UConn,8,9,1
2016,59842,Iowa State,Iona,4,13,94,81,Iowa State,Iona,4,13,0
2016,59843,Baylor,Yale,5,12,75,79,Baylor,Yale,5,12,1
