season,team,total_minutes,returning_minutes,continuity_pct
2016,Gardner-Webb,6675,5773,0.864868913857678
2016,George Mason,6450,3191,0.4947286821705426
2016,George Washington,7650,6854,0.8959477124183006
2016,Georgetown,6675,5039,0.7549063670411985
2016,Georgia,6650,5177,0.7784962406015038
2016,Georgia Southern,6250,3549,0.56784
2016,Georgia State,6100,5728,0.939016393442623
2016,Georgia Tech,7225,5605,0.7757785467128028
2016,Gonzaga,7225,7205,0.9972318339100346
2016,Grambling,6250,2455,0.3928
2016,Grand Canyon,6825,4746,0.6953846153846154
2016,Green Bay,7275,5385,0.7402061855670103
2016,Hampton,6525,5480,0.8398467432950192
2016,Harvard,6025,4200,0.6970954356846473
2016,Hawai'i,6825,5805,0.8505494505494505
2016,High Point,6450,5659,0.8773643410852713
2016,Hofstra,6950,5202,0.7484892086330935
2016,Holy Cross,7125,0,0.0
2016,Houston Christian,6800,5896,0.8670588235294118
2016,Houston,6525,3457,0.5298084291187739
2016,Howard,6500,6330,0.9738461538461538
2016,IU Indianapolis,6450,5537,0.8584496124031008
2016,Idaho State,6200,3001,0.4840322580645161
2016,Idaho,6825,5365,0.7860805860805861
2016,Illinois,6975,4502,0.6454480286738351
2016,Illinois State,6225,5270,0.8465863453815261
2016,Incarnate Word,5829,4866,0.8347915594441585
2016,Indiana,7021,4758,0.6776812419883208
2016,Indiana State,6475,4805,0.7420849420849421
2016,Iona,6625,4347,0.6561509433962264
2016,Iowa,6650,6039,0.9081203007518797
2016,Iowa State,7075,6334,0.8952650176678445
2016,Jackson State,7325,4909,0.6701706484641639
2016,Jacksonville,6450,5398,0.8368992248062016
2016,Jacksonville State,6025,2493,0.4137759336099585
2016,James Madison,6525,5705,0.8743295019157088
2016,Kansas City,6225,3042,0.4886746987951807
2016,Kansas,7701,7050,0.9154655239579276
2016,Kansas State,6725,3460,0.5144981412639406
2016,Kennesaw State,6225,4697,0.7545381526104418
2016,Kent State,6450,5013,0.7772093023255814
2016,Kentucky,7275,3666,0.5039175257731959
2016,LSU,6650,3453,0.5192481203007518
2016,La Salle,6200,5847,0.9430645161290323
2016,Lafayette,6175,5016,0.8123076923076923
2016,Lamar,6000,3294,0.549
2016,Lehigh,6400,5473,0.85515625
2016,Liberty,6400,2884,0.450625
2016,Lipscomb,6700,4996,0.7456716417910447
2016,Little Rock,7074,3807,0.5381679389312977
2016,Long Beach State,7075,5884,0.831660777385159
2016,Long Island University,5875,4860,0.8272340425531914
2016,Longwood,6650,4636,0.6971428571428572
2016,Louisiana,6850,6193,0.9040875912408759
